privacy_Budget,AUC,Attack_Accuracy
1,0.6588468488,0.8039119462
0.5,0.637311366,0.7652543591
0.25,0.687111236,0.7457742292
0.125,0.756034345,0.5372711752
0.1,0.8281098131,0.5902904454
0.05,0.747085739,0.5169797145
0.033,0.776,0.566
0.025,0.828,0.510
