privacy_Budget,AUC,Attack_Accuracy
5.09,0.6861648413,0.5362359059
11.74,0.6880740278,0.537845321
33.75,0.6894515774,0.535257756
48.82,0.6898510615,0.535480262
63.38,0.6904630258,0.536462786
83.32,0.6917099405,0.536415910
95.99,0.6914699405,0.5376228156
