privacy_Budget,AUC,Attack_Accuracy
80,0.99222437,0.660961173
70,0.992736848,0.661864968
50,0.992915708,0.637909395
40,0.99254597,0.620552278
30,0.992654336,0.616162683
25,0.992955097,0.614600105
