oversampling,AUC,Attack_Accuracy
PP-SMOTE,0.9989,0.578
SVMSMOTE,0.9967,0.636
SMOTE,0.9982,0.657
ADASYN,0.997,0.679
Borderline-SMOTE,0.9987,0.616
GAN,0.995,0.8
