privacy_Budget,AUC,Attack_Accuracy
0.013,0.7560700171,0.6398038193
0.014,0.7509920279,0.6557600497
0.020,0.79504441,0.6186983471
0.039,0.7802318965,0.6231856295
0.073,0.8147553374,0.6182219369
0.55,0.8044527855,0.6203061061
5.79,0.8663461029,0.6055243521
