privacy_Budget,AUC,Attack_Accuracy
0.033,0.3811977508,0.6648992287
0.061,0.5224157712,0.718214108
0.161,0.7037549601,0.7769059468
0.43,0.7622463185,0.736725553
1.28,0.7848221681,0.780339636
5.08,0.8053782971,0.739106743
11.73,0.8149207193,0.734464419
