oversampling,AUC,Attack_Accuracy
PP-SMOTE,0.906,0.515
SVMSMOTE,0.918,0.757
SMOTE,0.928,0.557
ADASYN,0.921,0.542
Borderline-SMOTE,0.929,0.566
GAN,0.84,0.56
