privacy_Budget,AUC,Attack_Accuracy
1,0.6350325556,0.4960594406
0.5,0.6754644695,0.5204778157
0.25,0.6591403051,0.4952471243
0.125,0.6756634177,0.5758564025
0.1,0.6278626779,0.6242024876
0.05,0.6650588857,0.644677693
0.033,0.704,0.620
0.025,0.712,0.610
