privacy_Budget,AUC,Attack_Accuracy
100,0.9070295971,0.51693334
80,0.9091504869,0.5154358026
70,0.9113965132,0.5165279132
60,0.9070570866,0.5157683109
50,0.9060985781,0.5152503813
40,0.9053336973,0.5156187238
30,0.904216766,0.5159153979

