privacy_Budget,AUC,Attack_Accuracy
100,0.9989083732,0.6249380716
50,0.998943119,0.6085000635
30,0.9990853759,0.6082618775
25,0.9990803223,0.6112566692
20,0.9991684847,0.6035886687
10,0.9985596362,0.5944137449
7,0.9989405719,0.5782885544
